# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Turned Yellow
# Property: Turned Yellow - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20250520
# End date: 20250618
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Social,59704,48046,0.8047367010585555,26.867764303899236,6.205162133190406,370473,436,0.007319442583411497,63202.921987
Direct,10148,8838,0.8709105242412298,55.92353173039022,8.289318092234923,84120,653,0.06434765471028774,58677.732613
Paid Search,6894,6238,0.9048447925732521,108.9814331302582,11.413548012764723,78685,392,0.05671598491441834,55843.650433
Organic Search,3907,3486,0.8922446890197082,83.00767852572307,10.524443306885079,41119,156,0.0399283337599181,19467.206555
Unassigned,2957,2392,0.8089279675346636,64.47412918498478,8.3043625295908,24556,107,0.035508961785593506,12744.130202
SMS,2608,2323,0.8907208588957055,91.95513803680981,9.65989263803681,25193,142,0.054447852760736194,19253.793552
Organic Social,2159,2050,0.9495136637332098,66.72857804539139,9.561371005094951,20643,47,0.02176933765632237,7057.090251
Cross-network,1918,1756,0.9155370177267987,88.13764337851929,10.505735140771638,20150,73,0.038060479666319084,10406.047634
Referral,441,385,0.873015873015873,45.750566893424036,8.346938775510203,3681,21,0.036281179138321996,1140.351679
Organic Shopping,264,241,0.9128787878787878,37.196969696969695,11.700757575757576,3089,3,0.011363636363636364,30
Email,138,122,0.8840579710144928,10.746376811594203,5.586956521739131,771,1,0.007246376811594203,30
Paid Other,79,71,0.8987341772151899,61.949367088607595,7.0886075949367084,560,5,0.06329113924050633,473.75
Display,60,44,0.7333333333333333,11.766666666666667,4.583333333333333,275,0,0,0
Paid Video,19,14,0.7368421052631579,100.15789473684211,7.631578947368421,145,0,0,0
Organic Video,2,1,0.5,67,10.5,21,0,0,0
