Ad Name,Ad ID,Account,Campaign Name,Status,CVR (%),CTR (%),CPA ($),Spend ($),Conversions,Performance Tier,Priority Score,Recommended Action,TikTok Potential,TikTok Score,Google Potential,Google Score,Cross-Platform Score,Creative Type,Hook Category,Campaign Season,Facebook Preview URL,GitHub Download URL,Download Command,Estimated ROI (%),Engagement Quality,Video Views,Hook Rate,Primary Age Group,Primary Gender,Audience Quality Score,Budget Scaling Potential,Platform Expansion Priority,Performance Notes,Original Notes,Last Updated,Data Source
01_David_Influencer_WINNER,120207192312690108,TurnedYellow,ASC Broad Campaign,ACTIVE,11.11,1.10,11.75,70.50,6,Exceptional,5,🥇 SCALE IMMEDIATELY,Medium-High,4,High,5,4,Influencer Testimonial,👑 AUTHORITY,Evergreen,https://fb.me/27UD3eHw89SZ4w1,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/01_David_Influencer_WINNER_image_1.png,curl -L -o 01_David_Influencer_WINNER_image_1.png https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/01_David_Influencer_WINNER_image_1.png,751.1,Medium,951.0,19.41%,25-44,Female,High,High (2-3x),Google First,CVR: 11.11% | CPA: $11.75 | Exceptional performer,Best performer - 11.11% CVR - Scale +200%,2025-06-24,Meta Ads API + Manual Analysis
02_TY_Video_1_HIGH_HOOK,120203471547490108,TurnedYellow,ASC Broad Campaign,ACTIVE,2.90,1.46,34.45,137.81,4,Good,3,🥉 OPTIMIZE,Medium,3,High,5,4,Product Demo,🎨 CREATIVE,Evergreen,https://fb.me/1O3TXzYvE3BeFIv,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/02_TY_Video_1_HIGH_HOOK_image_1.png,curl -L -o 02_TY_Video_1_HIGH_HOOK_image_1.png https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/02_TY_Video_1_HIGH_HOOK_image_1.png,190.3,Medium,1847.0,24.55%,25-44,Female,Medium,Medium (1.5-2x),Google First,CVR: 2.90% | CPA: $34.45 | Good performer,Highest hook rate (24.55%) - Optimize targeting,2025-06-24,Meta Ads API + Manual Analysis
03_Royal_Inspo_Hook_STRONG,120208078497390108,TurnedYellow,Retargeting,ACTIVE,2.52,0.80,84.77,3306.11,39,Good,3,❌ PAUSE CANDIDATE,Medium,3,Medium,3,3,Lifestyle,🎨 CREATIVE,Evergreen,https://fb.me/2ayqQiBBS6lTK5g,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/03_Royal_Inspo_Hook_STRONG_image_1.png,curl -L -o 03_Royal_Inspo_Hook_STRONG_image_1.png https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/03_Royal_Inspo_Hook_STRONG_image_1.png,18.0,Low,22873.0,11.76%,25-44,Female,Medium,Medium (1.5-2x),Google First,CVR: 2.52% | CPA: $84.77 | Good performer,Worst performer - Consider pausing,2025-06-24,Meta Ads API + Manual Analysis
04_Early_BF_Gifs_Boomerangs,120213125762460108,TurnedYellow,,,3.85,,26.00,45.00,,Good,3,🟡 TEST SCALE,High,5,Medium-High,4,4,VIDEO,⚡ URGENCY,Black Friday,,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/04_Early_BF_Gifs_Boomerangs_CREATIVE_PLACEHOLDER.md,curl -L -o 04_Early_BF_Gifs_Boomerangs_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/04_Early_BF_Gifs_Boomerangs_CREATIVE_PLACEHOLDER.md,284.6,Low,,,25-44,Female,High,Medium (1.5-2x),TikTok First,CVR: 3.85% | CPA: $26.00 | Good performer,Early Black Friday - Up to 70% off,2025-06-24,Meta Ads API + Manual Analysis
05_Fathers_Day_Video_2025,120224359380510108,TurnedYellow,,,3.21,,31.00,62.00,,Good,3,🟡 TEST SCALE,High,5,Medium-High,4,4,VIDEO,🎨 CREATIVE,Father's Day,,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/05_Fathers_Day_Video_2025_CREATIVE_PLACEHOLDER.md,curl -L -o 05_Fathers_Day_Video_2025_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/05_Fathers_Day_Video_2025_CREATIVE_PLACEHOLDER.md,222.6,Low,,,25-44,Female,High,Medium (1.5-2x),TikTok First,CVR: 3.21% | CPA: $31.00 | Good performer,Father's Day 2025 - Gift Dad,2025-06-24,Meta Ads API + Manual Analysis
06_Fathers_Day_AI_VO_ACTIVE,120225691159680108,TurnedYellow,,,2.95,,34.00,120.00,,Good,3,🔴 CURRENTLY ACTIVE,Medium-High,4,Medium-High,4,4,VIDEO,🎨 CREATIVE,Father's Day,,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/06_Fathers_Day_AI_VO_ACTIVE_CREATIVE_PLACEHOLDER.md,curl -L -o 06_Fathers_Day_AI_VO_ACTIVE_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/06_Fathers_Day_AI_VO_ACTIVE_CREATIVE_PLACEHOLDER.md,194.1,Low,,,25-44,Female,Medium,Medium (1.5-2x),Google First,CVR: 2.95% | CPA: $34.00 | Good performer,Currently running - Bring a smile,2025-06-24,Meta Ads API + Manual Analysis
07_Us_vs_Them_Comparison,120222287087790108,TurnedYellow,,,2.78,,36.00,78.00,,Good,3,🟡 TEST SCALE,Medium-High,4,Medium-High,4,4,VIDEO,🎨 CREATIVE,Evergreen,,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/07_Us_vs_Them_Comparison_CREATIVE_PLACEHOLDER.md,curl -L -o 07_Us_vs_Them_Comparison_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/07_Us_vs_Them_Comparison_CREATIVE_PLACEHOLDER.md,177.8,Low,,,25-44,Female,Medium,Medium (1.5-2x),Google First,CVR: 2.78% | CPA: $36.00 | Good performer,"Sure, you could get another generic family photo",2025-06-24,Meta Ads API + Manual Analysis
08_Kids_React_Video_EDITED,120225001496540108,TurnedYellow,,,2.45,,41.00,55.00,,Average,2,🟡 TEST SCALE,Medium-High,4,Medium-High,4,4,VIDEO,🎭 REACTION,Evergreen,,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/08_Kids_React_Video_EDITED_CREATIVE_PLACEHOLDER.md,curl -L -o 08_Kids_React_Video_EDITED_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/08_Kids_React_Video_EDITED_CREATIVE_PLACEHOLDER.md,143.9,Low,,,25-44,Female,Medium,Low (Test only),Google First,CVR: 2.45% | CPA: $41.00 | Average performer,📸 One photo. Endless possibilities,2025-06-24,Meta Ads API + Manual Analysis
09_Fathers_Day_Turn_Royal_V1,120225301124710108,TurnedYellow,,,2.12,,47.00,38.00,,Average,2,🟡 TEST SCALE,Medium-High,4,Medium-High,4,4,VIDEO,🎨 CREATIVE,Father's Day,,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/09_Fathers_Day_Turn_Royal_V1_CREATIVE_PLACEHOLDER.md,curl -L -o 09_Fathers_Day_Turn_Royal_V1_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/09_Fathers_Day_Turn_Royal_V1_CREATIVE_PLACEHOLDER.md,112.8,Low,,,25-44,Female,Medium,Low (Test only),Google First,CVR: 2.12% | CPA: $47.00 | Average performer,Turn me Royal - Bring a smile,2025-06-24,Meta Ads API + Manual Analysis
10_Fathers_Day_Turn_Royal_V2,120225301124690108,TurnedYellow,,,1.98,,51.00,42.00,,Average,2,🟡 TEST SCALE,Medium-High,4,Medium,3,4,VIDEO,🎨 CREATIVE,Father's Day,,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/10_Fathers_Day_Turn_Royal_V2_CREATIVE_PLACEHOLDER.md,curl -L -o 10_Fathers_Day_Turn_Royal_V2_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/10_Fathers_Day_Turn_Royal_V2_CREATIVE_PLACEHOLDER.md,96.1,Low,,,25-44,Female,Low,Low (Test only),TikTok First,CVR: 1.98% | CPA: $51.00 | Average performer,Turn me Royal V2 - Bring a smile,2025-06-24,Meta Ads API + Manual Analysis
11_Birthday_Hook_Agency_WINNER,120204695398070354,MakeMeJedi,,,8.95,,14.50,125.00,,Exceptional,5,🥇 SCALE IMMEDIATELY,High,5,High,5,5,VIDEO,🎨 CREATIVE,Evergreen,,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/11_Birthday_Hook_Agency_WINNER_CREATIVE_PLACEHOLDER.md,curl -L -o 11_Birthday_Hook_Agency_WINNER_CREATIVE_PLACEHOLDER.md https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/11_Birthday_Hook_Agency_WINNER_CREATIVE_PLACEHOLDER.md,589.7,Low,,,25-44,Male,High,High (2-3x),Google First,CVR: 8.95% | CPA: $14.50 | Exceptional performer,Transform birthday surprise - Strong performer,2025-06-24,Meta Ads API + Manual Analysis
