Creative ID,Creative Type,Theme,Variation Type,Primary Message,Call to Action,Performance Notes
120212567044480448,IMAGE,Father's Day,Edited L,"Custom Simpsons-style family portraits for Father's Day",SHOP_NOW,"Testing different creative variations for Father's Day campaign"
120212567044480450,IMAGE,Father's Day,Edited B,"Custom Simpsons-style family portraits for Father's Day",SHOP_NOW,"Alternative creative variation for A/B testing"
120212567044480454,VIDEO,Simpsons Style,Original,"Black Friday promotional pricing for custom portraits",LEARN_MORE,"Seasonal promotional creative for holiday shopping period"
120212567044480458,IMAGE,Simpsons Style,Original,"Turn your family into The Simpsons",SHOP_NOW,"Evergreen creative focusing on core value proposition"
120212567044480460,IMAGE,Father's Day,Edited S,"Dad deserves a custom Simpsons portrait",SHOP_NOW,"Father's Day specific messaging with emotional appeal"
120212567044480462,IMAGE,Father's Day,Edited P,"Perfect Father's Day gift - Custom Simpsons art",SHOP_NOW,"Gift-focused messaging for Father's Day campaign"
120212567044480465,VIDEO,Reaction Video,Original,"Customer reactions to receiving Simpsons portraits",LEARN_MORE,"User-generated content showing customer satisfaction"
120212567044480468,VIDEO,Simpsons Style,Original,"Black Friday special - Custom Simpsons portraits",SHOP_NOW,"Holiday promotional video with discount messaging"
120212567044480471,IMAGE,Royal/Fantasy,Original,"Royal family Simpsons portrait style",SHOP_NOW,"Premium positioning with royal theme variation"
120212567044480474,VIDEO,UGC,Original,"Real customers sharing their Simpsons portraits",LEARN_MORE,"Authentic customer testimonials and unboxing videos" 
