Name,Brand,Creative_Type,Performance_Tier,Campaign_ID,File_Size_KB,Created_Date,Days_Ago,Directory_Source,GitHub_Download_Link,GitHub_View_Link,File_Type,Quality_Priority,Notes
MakeMeJedi_120204823402370354_video_Review_mashup_1__The_ULTIMATE_GIFT.jpg,MakeMeJedi,video,,120204823402370,1.62,2025-06-24 22:45:40,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120204823402370354_video_Review_mashup_1__The_ULTIMATE_GIFT.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120204823402370354_video_Review_mashup_1__The_ULTIMATE_GIFT.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120215085657940354_image_CM_images__Enjoy_up_to_75_OFF.jpg,MakeMeJedi,image,,120215085657940,168.32,2025-06-24 22:45:39,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120215085657940354_image_CM_images__Enjoy_up_to_75_OFF.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120215085657940354_image_CM_images__Enjoy_up_to_75_OFF.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120204892079120354_video_Review_mashup_1__A_long_time_ago.jpg,MakeMeJedi,video,,120204892079120,1.71,2025-06-24 22:45:38,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120204892079120354_video_Review_mashup_1__A_long_time_ago.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120204892079120354_video_Review_mashup_1__A_long_time_ago.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120204475687960354_video_BF_1_remake__The_ULTIMATE_GIFT.jpg,MakeMeJedi,video,,120204475687960,1.8,2025-06-24 22:45:37,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120204475687960354_video_BF_1_remake__The_ULTIMATE_GIFT.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120204475687960354_video_BF_1_remake__The_ULTIMATE_GIFT.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120204823402360354_video_Review_mashup_1__Make_anyone_laugh.jpg,MakeMeJedi,video,,120204823402360,1.56,2025-06-24 22:45:36,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120204823402360354_video_Review_mashup_1__Make_anyone_laugh.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120204823402360354_video_Review_mashup_1__Make_anyone_laugh.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
Fathers Day Campaign,MakeMeJedi,video,👨 FATHERS DAY,120210675709630,1.89,2025-06-24 22:45:35,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120210675709630354_video_Mashup_2_FD2024__This_Fathers_Day.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120210675709630354_video_Mashup_2_FD2024__This_Fathers_Day.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120204475699460354_video_FD_1_remake__A_long_time_ago.jpg,MakeMeJedi,video,,120204475699460,1.6,2025-06-24 22:45:34,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120204475699460354_video_FD_1_remake__A_long_time_ago.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120204475699460354_video_FD_1_remake__A_long_time_ago.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120214266364140354_video_BF_70_2__Become_a_Jedi_70.jpg,MakeMeJedi,video,,120214266364140,1.77,2025-06-24 22:45:33,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120214266364140354_video_BF_70_2__Become_a_Jedi_70.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120214266364140354_video_BF_70_2__Become_a_Jedi_70.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120204475702160354_video_BF_2_remake__The_ULTIMATE_GIFT.jpg,MakeMeJedi,video,,120204475702160,1.78,2025-06-24 22:45:32,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120204475702160354_video_BF_2_remake__The_ULTIMATE_GIFT.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120204475702160354_video_BF_2_remake__The_ULTIMATE_GIFT.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
MakeMeJedi_120204475711300354_video_FD_2_remake__A_long_time_ago.jpg,MakeMeJedi,video,,120204475711300,1.44,2025-06-24 22:45:31,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120204475711300354_video_FD_2_remake__A_long_time_ago.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120204475711300354_video_FD_2_remake__A_long_time_ago.jpg,jpg,1,"Quality tier: 1, Source: hd_ad_creatives"
