Ad_Name,Brand,Account,Campaign,Creative_Type,Performance_Rating,Priority,GitHub_Download_Link,GitHub_View_Link,Status,Hook_Type,Notes,Download_Command,File_Size_KB,Directory_Source,Created_Date
USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b.jpg"" -o ""USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b.jpg""",6.76,hd_ad_creatives,2025-06-25
USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4.jpg"" -o ""USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4.jpg""",8.67,hd_ad_creatives,2025-06-25
USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6.jpg"" -o ""USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6.jpg""",9.04,hd_ad_creatives,2025-06-25
USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0.jpg"" -o ""USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0.jpg""",8.97,hd_ad_creatives,2025-06-25
USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0.jpg"" -o ""USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0.jpg""",7.39,hd_ad_creatives,2025-06-25
USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79.jpg"" -o ""USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79.jpg""",9.37,hd_ad_creatives,2025-06-25
USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Image,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d.jpg"" -o ""USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d.jpg""",269.48,hd_ad_creatives,2025-06-25
USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990.jpg"" -o ""USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990.jpg""",9.52,hd_ad_creatives,2025-06-25
USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678.jpg"" -o ""USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678.jpg""",7.78,hd_ad_creatives,2025-06-25
USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.,USD_TurnedYellow,USD_TurnedYellow,120223458675550108,Video,⭐ Fresh Download,Medium,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.jpg,Active,Father's Day,Fresh download 2025-06-25 - Fresh download on 2025-06-25,"curl -L ""https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.jpg"" -o ""USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.jpg""",9.37,hd_ad_creatives,2025-06-25
