unique_id,filename,file_path,directory_source,file_size_kb,modification_date,days_ago,quality_priority,brand,campaign_id,ad_type,creative_name,performance_tier,file_type,github_download_url,github_view_url,is_recent
bf1888a1,MakeMeJedi_120228283043820354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face_og.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228283043820354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face_og.jpg,creative-ads-repository,1.97,2025-06-24 22:45:23,0,3,MakeMeJedi,120228283043820,gif,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228283043820354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face_og.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228283043820354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face_og.jpg,True
aa47301d,15_Early_BF_75_Percent_Off_PLACEHOLDER.png,creative-ads-repository/MakeMeJedi/15_Early_BF_75_Percent_Off_PLACEHOLDER.png,creative-ads-repository,30.47,2025-06-24 20:06:04,0,3,,,,Early Black Friday,,png,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/15_Early_BF_75_Percent_Off_PLACEHOLDER.png,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/15_Early_BF_75_Percent_Off_PLACEHOLDER.png,True
660cb2d3,MakeMeJedi_120214266364140354_video_BF_70_2__Become_a_Jedi_70.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120214266364140354_video_BF_70_2__Become_a_Jedi_70.jpg,creative-ads-repository,1.77,2025-06-24 22:45:33,0,3,MakeMeJedi,120214266364140,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120214266364140354_video_BF_70_2__Become_a_Jedi_70.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120214266364140354_video_BF_70_2__Become_a_Jedi_70.jpg,True
04f9fd21,MakeMeJedi_120222552375440354_video_FD_2_remake__A_long_time_ago_pdp.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120222552375440354_video_FD_2_remake__A_long_time_ago_pdp.jpg,creative-ads-repository,1.44,2025-06-24 22:44:57,0,3,MakeMeJedi,120222552375440,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120222552375440354_video_FD_2_remake__A_long_time_ago_pdp.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120222552375440354_video_FD_2_remake__A_long_time_ago_pdp.jpg,True
27ba89db,MakeMeJedi_120210776660380354_video_Review_mashup_3_Sara__Unbox_a_galaxy_of_joy_.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120210776660380354_video_Review_mashup_3_Sara__Unbox_a_galaxy_of_joy_.jpg,creative-ads-repository,1.83,2025-06-24 22:45:07,0,3,MakeMeJedi,120210776660380,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120210776660380354_video_Review_mashup_3_Sara__Unbox_a_galaxy_of_joy_.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120210776660380354_video_Review_mashup_3_Sara__Unbox_a_galaxy_of_joy_.jpg,True
c9e9f251,MakeMeJedi_120204475711300354_video_FD_2_remake__A_long_time_ago.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475711300354_video_FD_2_remake__A_long_time_ago.jpg,creative-ads-repository,1.44,2025-06-24 22:45:31,0,3,MakeMeJedi,120204475711300,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475711300354_video_FD_2_remake__A_long_time_ago.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475711300354_video_FD_2_remake__A_long_time_ago.jpg,True
b3a3df83,MakeMeJedi_120228283043810354_gif_Fathers_Day_edited_P_1__Imagine_Dads_face_og.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228283043810354_gif_Fathers_Day_edited_P_1__Imagine_Dads_face_og.jpg,creative-ads-repository,1.62,2025-06-24 22:45:25,0,3,MakeMeJedi,120228283043810,gif,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228283043810354_gif_Fathers_Day_edited_P_1__Imagine_Dads_face_og.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228283043810354_gif_Fathers_Day_edited_P_1__Imagine_Dads_face_og.jpg,True
b459e52d,MakeMeJedi_120204475687960354_video_BF_1_remake__The_ULTIMATE_GIFT.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475687960354_video_BF_1_remake__The_ULTIMATE_GIFT.jpg,creative-ads-repository,1.8,2025-06-24 22:45:37,0,3,MakeMeJedi,120204475687960,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475687960354_video_BF_1_remake__The_ULTIMATE_GIFT.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475687960354_video_BF_1_remake__The_ULTIMATE_GIFT.jpg,True
22b7b91d,MakeMeJedi_120228279174050354_video_Fathers_Day_edited_S_2__Imagine_Dads_face_og.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228279174050354_video_Fathers_Day_edited_S_2__Imagine_Dads_face_og.jpg,creative-ads-repository,1.78,2025-06-24 22:45:24,0,3,MakeMeJedi,120228279174050,video,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228279174050354_video_Fathers_Day_edited_S_2__Imagine_Dads_face_og.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228279174050354_video_Fathers_Day_edited_S_2__Imagine_Dads_face_og.jpg,True
fb291202,MakeMeJedi_120228291374810354_video_Fathers_Day_AI_voiceover_edited_S_1__Imagine.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228291374810354_video_Fathers_Day_AI_voiceover_edited_S_1__Imagine.jpg,creative-ads-repository,1.75,2025-06-24 22:45:16,0,3,MakeMeJedi,120228291374810,video,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228291374810354_video_Fathers_Day_AI_voiceover_edited_S_1__Imagine.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228291374810354_video_Fathers_Day_AI_voiceover_edited_S_1__Imagine.jpg,True
