Name,Brand,Creative_Type,Performance_Tier,Campaign_ID,File_Size_KB,Created_Date,Days_Ago,Directory_Source,GitHub_Download_Link,GitHub_View_Link,File_Type,Quality_Priority,Notes
USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b.jpg,USD_TurnedYellow,video,,120223458675550108,6.76,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1602031767130531_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-3b.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4.jpg,USD_TurnedYellow,video,,120223458675550108,8.67,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1005954561528097_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-12-f4.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6.jpg,USD_TurnedYellow,video,,120223458675550108,9.04,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1232598365204446_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-f6.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0.jpg,USD_TurnedYellow,video,,120223458675550108,8.97,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1281054330262045_video_This_Father_s_Day_Turn_Dad_Yellow_Up_to_70_Off_2025-06-11-d0.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0.jpg,USD_TurnedYellow,video,,120223458675550108,7.39,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1419785155685137_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-2a0a5c227d0.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79.jpg,USD_TurnedYellow,video,,120223458675550108,9.37,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1761282917804254_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-5a2a563bdccb286d79.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d.jpg,USD_TurnedYellow,image,,120223458675550108,269.48,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_2922943441219466_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-8c18ad74e0ff984d3d.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990.jpg,USD_TurnedYellow,video,,120223458675550108,9.52,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1744998302722143_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-17-8dd4b46e990.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678.jpg,USD_TurnedYellow,video,,120223458675550108,7.78,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1320707222360470_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-2d1c5349ee12b07678.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.jpg,USD_TurnedYellow,video,,120223458675550108,9.37,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_739715065387367_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-30-af2bd3134e80127a9c.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1210327987494412_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-0e26c5d6210d99e964.jpg,USD_TurnedYellow,image,,120223458675550108,269.48,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1210327987494412_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-0e26c5d6210d99e964.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1210327987494412_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-0e26c5d6210d99e964.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_611116684592963_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-5cd1ec047b8e23f653.jpg,USD_TurnedYellow,video,,120223458675550108,8.54,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_611116684592963_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-5cd1ec047b8e23f653.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_611116684592963_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-5cd1ec047b8e23f653.jpg,jpg,1,Fresh download on 2025-06-25
